gp_code,gp_name,Address,Phone,location
mgp0165,Chemist Warehouse Noble Park,6-10 Leonard Avenue  Noble Park VIC 3174,03 9518 1209,"{""lat"":-37.9680062, ""lng"":145.175816}"
mgp0166,Direct Chemist Outlet Croydon,88-92 Main Street  Croydon VIC 3136,03 9723 7711,"{""lat"":-37.7945425, ""lng"":145.2823588}"
mgp0167,Wyndham City Council - Community Support,45 Princes Highway  Werribee VIC 3030,03 9742 0736,"{""lat"":-37.8849992, ""lng"":144.6998845}"
mgp0168,Maroondah City Council - Civic Square Service Centre,7 Civic Square  Croydon VIC 3136,03 9294 5627,"{""lat"":-37.8004659, ""lng"":145.2805459}"
mgp0169,TerryWhite Chemmart Croydon,Arndale Shopping Centre  Shop 20-21  224 Mt Dandenong Road  Croydon VIC 3136,03 9723 6222,"{""lat"":-37.798806, ""lng"":145.2833578}"
mgp0170,Hume City Council Immunisation Services - Sunbury,Sunbury Memorial Hall  6 Stawell Street  Sunbury VIC 3429,03 9205 2523,"{""lat"":-37.5795958, ""lng"":144.733317}"
mgp0171,TerryWhite Chemmart Sunbury,83-85 Evans Street  Sunbury VIC 3429,03 9744 2801,"{""lat"":-37.5807659, ""lng"":144.7285891}"
mgp0172,Gap Road Medical Centre,46 Gap Road  Sunbury VIC 3429,03 9740 4429,"{""lat"":-37.5797284, ""lng"":144.7223253}"
mgp0173,Parkmore Medical Centre,323 Cheltenham Road  Keysborough VIC 3173,03 9791 0777,"{""lat"":-37.9933159, ""lng"":145.1648533}"
mgp0174,TerryWhite Chemmart Parkmore,Parkmore Shopping Centre  Shop R09  317 Cheltenham Road  Keysborough VIC 3173,03 9798 5740,"{""lat"":-37.9933159, ""lng"":145.1648533}"
mgp0175,Amcal Rowville Pharmacy,Wellington Village  Shop 2  1100 Wellington Road  Rowville VIC 3178,03 9755 8088,"{""lat"":-37.9280619, ""lng"":145.2528745}"
mgp0176,Priceline Pharmacy Mooroolbark,28 Brice Avenue  Mooroolbark VIC 3138,03 9726 7611,"{""lat"":-37.7858655, ""lng"":145.3161984}"
mgp0177,TerryWhite Chemmart - Chirnside,Chirnside Park Shopping Centre  Shop 628  239-241 Maroondah Highway  Chirnside Park VIC 3116,03 9727 1555,"{""lat"":-37.7693019, ""lng"":145.2974504}"
mgp0178,Mooroolbark Community Centre,125 Brice Avenue  Mooroolbark VIC 3138,03 9726 5488,"{""lat"":-37.7858655, ""lng"":145.3161984}"
mgp0179,Edithvale Family and Children's Centre,122 Edithvale Road  Edithvale VIC 3196,03 8782 1200,"{""lat"":-38.0374002, ""lng"":145.1125885}"
mgp0180,Edithvale Maternal & Child Health Centre,88 120 Edithvale Road  Edithvale VIC 3196,03 8782 1280,"{""lat"":-38.0374002, ""lng"":145.1125885}"
mgp0181,Bunurong Health Service,3 Carroll Avenue  Dandenong VIC 3175,03 9794 5933,"{""lat"":-37.9788345, ""lng"":145.2231912}"
mgp0182,TerryWhite Chemmart - Dandenong Plaza,Dandenong Plaza  Level 3 Shop 370  22-25 McCrae Street  Dandenong VIC 3175,03 9794 5959,"{""lat"":-37.9886761, ""lng"":145.2180217}"
mgp0183,Chemist Warehouse - Dandenong,265 Lonsdale Street  Dandenong VIC 3175,03 9792 0522,"{""lat"":-37.9874322, ""lng"":145.2137881}"
mgp0184,Priceline Pharmacy - Dandenong Plaza,Dandenong Plaza  Level 1 Shop 122  Corner McCrae and Walker Street  Dandenong VIC 3175,03 9791 6663,NA
mgp0185,Chemist Warehouse Melton,Melton Gate Way  Unit 4  66-84 High Street  Melton VIC 3337,03 9746 8733,"{""lat"":-37.6834834, ""lng"":144.5800749}"
mgp0186,Amcal Pharmacy - Whittlesea,69 Church Street  Whittlesea VIC 3757,03 9716 2211,"{""lat"":-37.5085907, ""lng"":145.1186208}"
mgp0187,Whittlesea Medical Clinic,77 Church Street  Whittlesea VIC 3757,03 9716 2207,"{""lat"":-37.5085907, ""lng"":145.1186208}"
mgp0188,Chemist Discount Centre Upper Ferntree Gully,Ferntree Plaza  Shop 9-10  1200 Burwood Highway  Upper Ferntree Gully VIC 3156,03 9758 1082,"{""lat"":-37.8934715, ""lng"":145.3096284}"
mgp0189,Adam's Pharmacy,413 Nepean Highway  Chelsea VIC 3196,03 9772 1126,"{""lat"":-38.0529006, ""lng"":145.11588627277177}"
mgp0190,City Of Melton,232 High Street  Melton VIC 3337,03 9747 7200,"{""lat"":-37.6834834, ""lng"":144.5800749}"
mgp0191,Autumn Place Pharmacy,19-20 Autumn Place  Doveton VIC 3177,03 9706 9183,"{""lat"":-37.9944111, ""lng"":145.2388527}"
mgp0192,Endeavour Hills Amcal + Pharmacy,Endeavour Hills Shopping Centre  Shop 47  78-80 Heatherton Road  Endeavour Hills VIC 3802,03 9700 2828,"{""lat"":-37.972686, ""lng"":145.2382683}"
mgp0193,Yarra Ranges Council,Civic Centre  15 Anderson Street  Lilydale VIC 3140,1300 368 333,"{""lat"":-37.7574586, ""lng"":145.3549214}"
mgp0194,Melton Pharmacy Superstore,383-385 High Street  Melton VIC 3337,03 9747 8444,"{""lat"":-37.6834834, ""lng"":144.5800749}"
mgp0195,Priceline Pharmacy Lilydale,Lilydale Village  Shop 9  343-347 Main Street  Lilydale VIC 3140,03 9735 1000,"{""lat"":-37.7575325, ""lng"":145.3498785}"
mgp0196,Chemist Discount Centre Endeavour Hills,61 Heatherton Road  Endeavour Hills VIC 3802,03 9700 7606,"{""lat"":-37.972686, ""lng"":145.2382683}"
mgp0197,Pharmacy 4 Less - Melton,Shop 107  533-555 High Street  Melton VIC 3337,03 9746 8405,"{""lat"":-37.6863188, ""lng"":144.5643476}"
mgp0198,Mt Evelyn Compounding Pharmacy,35 Wray Crescent  Mount Evelyn VIC 3796,03 9736 2949,"{""lat"":-37.7856653, ""lng"":145.3788456}"
mgp0199,Belgrave Medical Clinic,1575 Burwood Highway  Tecoma VIC 3160,03 9757 8000,"{""lat"":-37.9069371, ""lng"":145.34714911547206}"
mgp0200,Priceline Pharmacy Hampton Park,Hampton Park Shopping Square  Shop 48 - 49  Somerville Road  Hampton Park VIC 3976,03 9799 3222,"{""lat"":-38.0319746, ""lng"":145.2659499}"
mgp0201,St Mary Medical Centre,1181 Frankston Dandenong Road  Carrum Downs VIC 3201,03 8770 8888,"{""lat"":-38.1089035, ""lng"":145.16174}"
mgp0202,Priceline Pharmacy - Fountain Gate,Westfield Fountain Gate  Level 2 Shop 2020  352 Magid Highway  Fountain Gate VIC 3805,03 9704 8558,NA
mgp0203,City of Casey - Narre Warren - Immunisation Service,Bunjil Place  2 Patrick Northeast Drive  Narre Warren VIC 3805,03 9705 5200,"{""lat"":-38.0198473, ""lng"":145.3010794}"
mgp0204,Simon Yu Pharmacy - Wallan,Shop 1  65 High Street  Wallan VIC 3756,03 5783 1403,"{""lat"":-37.4067079, ""lng"":144.9798628}"
mgp0205,Wallan Amcal Pharmacy,Wellington Square  Shop 4  81-89 High Street  Wallan VIC 3756,03 5783 4800,"{""lat"":-37.4067079, ""lng"":144.9798628}"
mgp0206,Direct Chemist Outlet - Belvedere Park,284 Seaford Road  Seaford VIC 3198,03 9786 2703,"{""lat"":-38.1108188, ""lng"":145.1331446}"
mgp0207,Priceline Pharmacy - Carrum Downs,Carrum Downs Shopping Centre  Shop 4-8  100 Hall Road  Carrum Downs VIC 3201,03 9782 1277,"{""lat"":-38.1018907, ""lng"":145.1872907}"
mgp0208,Riddell Country Practice,9 Station Street  Riddells Creek VIC 3431,03 5428 7591,"{""lat"":-37.4629994, ""lng"":144.6770148}"
mgp0209,Chemist Warehouse - Frankston,32-34 Wells Street  Frankston VIC 3199,03 9783 9788,"{""lat"":-38.1429575, ""lng"":145.1212084}"
mgp0210,Barry Dean Pharmacy,53F-53G Beach Street  Frankston VIC 3199,03 9783 5201,NA
mgp0211,TerryWhite Chemmart Pharmacy Frankston,89-97 Young Street  Frankston VIC 3199,03 9783 3373,"{""lat"":-38.1462889, ""lng"":145.1225015}"
mgp0212,Blooms The Chemist - Casey Central,Casey Central Shopping Centre  Shop 132 - 134  400 Narre Warren-Cranbourne Road  Narre Warren South VIC 3805,03 9704 8166,"{""lat"":-38.0436283, ""lng"":145.3036971}"
mgp0213,Berwick Pharmacy,51 High Street  Berwick VIC 3806,03 9707 1555,"{""lat"":-38.0309962, ""lng"":145.3465054}"
mgp0214,HealthMint Medical Centre,Shop 12  2-10 William Thwaites Boulevard  Cranbourne North VIC 3977,03 5611 3365,"{""lat"":-38.0820534, ""lng"":145.3151328}"
mgp0215,Soul Pattinson Chemist - Karingal Hub,Karingal Hub Shopping Centre  Shop T86  330 Cranbourne Road  Frankston VIC 3199,03 9789 1699,"{""lat"":-38.1473922, ""lng"":145.1412284}"
mgp0216,Chemist Warehouse - Gisborne,Gisborne Village Shopping Centre  Shop 29-31  22 Brantome Street  Gisborne VIC 3437,03 5428 1366,"{""lat"":-37.4872885, ""lng"":144.5896505}"
mgp0217,Priceline Pharmacy Gisborne,Shop 1  18 Brantome Street  Gisborne VIC 3437,03 5428 2107,"{""lat"":-37.4872885, ""lng"":144.5896505}"
mgp0218,Eden Rise Pharmacy,Eden Rise Shopping Centre  Shop 30  1 O'Shea Road  Berwick VIC 3806,03 8794 7920,"{""lat"":-38.0628079, ""lng"":145.3390661}"
mgp0219,Nova Pharmacy - Langwarrin,230 Cranbourne Road  Langwarrin VIC 3910,03 9775 8888,"{""lat"":-38.156374, ""lng"":145.1704875}"
mgp0220,Macedon Ranges Shire Council - Administration Centre Gisborne,40 Robertson Street  Gisborne VIC 3437,1300 656 577,"{""lat"":-37.4858092, ""lng"":144.5912441}"
mgp0221,TerryWhite Chemmart Mt Eliza,Shop 1  89 Mount Eliza Way  Mount Eliza VIC 3930,03 9787 7988,"{""lat"":-38.1851294, ""lng"":145.089546}"
mgp0222,Bacchus Marsh Village UFS Pharmacy,Bacchus Marsh Village  Shop 66  160-192 Main Street  Bacchus Marsh VIC 3340,03 5367 8600,"{""lat"":-37.6754455, ""lng"":144.4350994}"
mgp0223,Amcal Pharmacy - Clyde North,Selandra Rise Shopping Centre  Shop 6  Selandra Boulevard  Clyde North VIC 3978,03 5998 0934,"{""lat"":-38.1159954, ""lng"":145.3236029}"
mgp0224,Pharmacy on Clyde,Shopping on Clyde  Shop 12  280 Berwick-Cranbourne Road  Clyde VIC 3978,03 5998 0400,"{""lat"":-38.1185002, ""lng"":145.3207171}"
mgp0225,Romsey Pharmacy,Shop 3  107-113 Main Street  Romsey VIC 3434,03 5429 5353,"{""lat"":-37.3414956, ""lng"":144.7418891}"
mgp0226,Chemist Discount Centre - Officer,Arena Shopping Centre  Shop 18  Corner Princes Highway and Cardinia Road  Officer VIC 3809,03 5940 0767,NA
mgp0227,Simon Yu Kilmore Pharmacy,20 Sydney Street  Kilmore VIC 3764,03 5782 1432,"{""lat"":-37.2874098, ""lng"":144.9491009}"
mgp0228,Kilmore Amcal Pharmacy,61-63 Sydney Street  Kilmore VIC 3764,03 5782 1722,"{""lat"":-37.2874098, ""lng"":144.9491009}"
mgp0229,Peak Pharmacy Drysdale,Shop 1  19 Clifton Springs Road  Drysdale VIC 3222,03 5251 2671,"{""lat"":-38.1726272, ""lng"":144.5709848}"
mgp0230,Priceline Pharmacy Pakenham,Pakenham Place Shopping Centre  Shop 1  55 John Street  Pakenham VIC 3810,03 5941 1933,"{""lat"":-38.078971499999994, ""lng"":145.4802814287049}"
mgp0231,United Chemists - Pakenham,Pakenham Central Marketplace  Shop 1  50-54 John Street  Pakenham VIC 3810,03 5940 4295,"{""lat"":-38.0780626, ""lng"":145.4812835}"
mgp0232,Ochre Lancefield Country Practice,17 High Street  Lancefield VIC 3435,03 5429 1362,"{""lat"":-37.2767908, ""lng"":144.733642}"
mgp0233,Lancefield Pharmacy,15 High Street  Lancefield VIC 3435,03 5429 1691,"{""lat"":-37.2767908, ""lng"":144.733642}"
mgp0234,Chemist Warehouse Corio,Shop 7  470-490 Princes Highway  Corio VIC 3214,03 5274 9022,NA
mgp0235,Tooradin Pharmacy,Shop 3  106 South Gippsland Highway  Tooradin VIC 3980,03 5998 3771,"{""lat"":-38.1886687, ""lng"":145.3468332}"
mgp0236,TerryWhite Chemmart Hastings,47 High Street  Hastings VIC 3915,03 5979 1513,"{""lat"":-38.3077267, ""lng"":145.1854499}"
mgp0237,Direct Chemist Outlet Rosebud,999 Point Nepean Road  Rosebud VIC 3939,03 5986 8331,"{""lat"":-38.3552355, ""lng"":144.9061541}"
mgp0238,Bant's Amcal Pharmacy,1045 Point Nepean Road  Rosebud VIC 3939,03 5986 1676,"{""lat"":-38.3552355, ""lng"":144.9061541}"
mgp0239,MITCHELL SHIRE COUNCIL,113 High Street  Broadford VIC 3658,03 5734 6200,"{""lat"":-37.2029077, ""lng"":145.0489343}"
mgp0240,Quality Pharmacy - Bellpost,Bellpost Shopping Centre  Shop 17-18  290-306 Anakie Road  Norlane VIC 3214,03 5275 6977,"{""lat"":-38.0819888, ""lng"":144.3371435}"
mgp0241,TerryWhite Chemmart - Rosebud,3 Boneo Road  Rosebud VIC 3939,03 5986 8288,"{""lat"":-38.3598492, ""lng"":144.889725}"
mgp0242,Community Care Chemist - North Geelong,75 Separation Street  Geelong North VIC 3215,03 5278 4300,"{""lat"":-38.1119366, ""lng"":144.3528398}"
mgp0243,Peak Pharmacy - Bellarine Village,Bellarine Village Shopping Centre  Shop 5  25-29 Bellarine Highway  Newcomb VIC 3219,03 5248 1501,"{""lat"":-38.1735332, ""lng"":144.402482}"
mgp0244,Deakin University Medical Centre - Waterfront Campus,John Hay Building  1 Gheringhap Street  Geelong VIC 3220,03 5247 9312,"{""lat"":-38.1527593, ""lng"":144.3554023}"
mgp0245,Discount Drug Stores East Geelong,1 Ormond Road  East Geelong VIC 3219,03 5229 5565,"{""lat"":-38.1620569, ""lng"":144.3783427}"
mgp0246,Chemist Warehouse - Geelong,179-181 Little Malop Street  Geelong VIC 3220,03 5221 9940,"{""lat"":-38.149166449999996, ""lng"":144.36445198198712}"
mgp0247,Priceline Pharmacy Geelong West,91 Pakington Street  Geelong West VIC 3218,03 5229 1058,"{""lat"":-38.137204049999994, ""lng"":144.3487008719897}"
mgp0248,Rye Beach Terry White Chemmart,2345 Point Nepean Road  Rye VIC 3941,03 5985 2292,"{""lat"":-38.3710613, ""lng"":144.8308795}"
mgp0249,Community Care Chemist - Geelong West,Shop 1  184 Pakington Street  Geelong West VIC 3218,03 5246 5850,"{""lat"":-38.1413135, ""lng"":144.34843530339532}"
mgp0250,Vines Road Pharmacy,99 Vines Road  Hamlyn Heights VIC 3215,03 5278 4064,"{""lat"":-38.12098, ""lng"":144.328243}"
mgp0251,MOORABOOL SHIRE COUNCIL,15 Stead Street  Ballan VIC 3342,03 5366 7100,"{""lat"":-37.6000797, ""lng"":144.2279951}"
mgp0252,Community Care Chemist - Belmont,157 High Street  Belmont VIC 3216,03 5241 1755,"{""lat"":-38.1823454, ""lng"":144.3349477}"
mgp0253,291 Roslyn Road Medical Practice,291 Roslyn Road  Highton VIC 3216,03 5241 1155,"{""lat"":-38.1714319, ""lng"":144.3096902}"
mgp0254,Barwon Health - Immunisation Service,Barwon Health Community Health Centre  1 17 Reynolds Road  Belmont VIC 3216,03 4215 6963,"{""lat"":-38.1893606, ""lng"":144.3277274}"
mgp0255,Campaspe Family Practice,Kyneton Hospital  7-25 Caroline Chisholm Drive  Kyneton VIC 3444,03 5422 2877,"{""lat"":-37.2547283, ""lng"":144.4701376255794}"
mgp0256,Priceline Pharmacy - Waurn Ponds,Waurn Ponds Shopping Centre  Shop 02  173-199 Pioneer Road  Waurn Ponds VIC 3216,03 5244 5129,NA
mgp0257,Pharmacy 4 Less Waurn Ponds,Waurn Ponds Shopping Centre  Shop 1D  199 Pioneer Road  Waurn Ponds VIC 3216,03 5243 1050,NA
mgp0258,Murrindindi Shire Council - Yea Office,15 The Semi Circle  Yea VIC 3717,03 5797 2888,NA
mgp0259,Bannockburn Pharmacy,6 High Street  Bannockburn VIC 3331,03 5281 1519,"{""lat"":-38.0452291, ""lng"":144.1719057}"
mgp0260,Golden Plains Shire Council - Bannockburn,2a Pope Street  Bannockburn VIC 3331,03 5220 7111,"{""lat"":-38.0490753, ""lng"":144.1708642}"
mgp0261,Lang Lang Pharmacy,Shop 3  14-16 Westernport Road  Lang Lang VIC 3984,03 5997 5403,"{""lat"":-38.2688604, ""lng"":145.5551935}"
mgp0262,Cowes Pharmacy,24 Thompson Avenue  Cowes VIC 3922,03 5952 2061,"{""lat"":-38.4635385, ""lng"":145.2389815}"
mgp0263,Phillip Island Pharmacy,Shop 2  164-166 Thompson Avenue  Cowes VIC 3922,03 5952 2299,"{""lat"":-38.4593732, ""lng"":145.2389843}"
mgp0264,Surf Coast Shire - Torquay Children's Services Hub,27 Grossmans Road  Torquay VIC 3228,03 5261 0549,"{""lat"":-38.3186059, ""lng"":144.2959083}"
mgp0265,Torquay Pharmacy,18 Gilbert Street  Torquay VIC 3228,03 5261 2270,"{""lat"":-38.3321859, ""lng"":144.3249404}"
mgp0266,Maternal And Child Health Centre - Moriac,Moriac Preschool Building  7 Clerke Court  Moriac VIC 3240,03 5261 0600,"{""lat"":-38.2436512, ""lng"":144.1692162}"
mgp0267,Hepburn Community Care,76 Vincent Street  Daylesford VIC 3460,03 5321 6550,"{""lat"":-37.3413082, ""lng"":144.1426676}"
mgp0268,Nyora Pharmacy,44 Davis Street  Nyora VIC 3987,03 5659 0169,"{""lat"":-38.3328548, ""lng"":145.6728101}"
mgp0269,Chemist Discount Centre Drouin,1 Hope Street  Drouin VIC 3818,03 5625 1888,"{""lat"":-38.1346371, ""lng"":145.8564961}"
mgp0270,Drouin Amcal Pharmacy,33-35 Princes Way  Drouin VIC 3818,03 5625 1659,"{""lat"":-38.13826, ""lng"":145.8611004}"
mgp0271,Murrindindi Shire Council - Alexandra,Shire Offices  28 Perkins Street  Alexandra VIC 3714,03 5772 0333,"{""lat"":-37.1891273, ""lng"":145.7128586}"
mgp0272,BAW BAW SHIRE COUNCIL,1 Civic Place  Warragul VIC 3820,03 5624 2411,"{""lat"":-38.1583334, ""lng"":145.9342881}"
mgp0273,Chemist Discount Pharmacy - Warragul,38 Palmerston Street  Warragul VIC 3820,03 5623 1615,"{""lat"":-38.1617916, ""lng"":145.9324743}"
mgp0274,Gladstone Street Medical Clinic,46 Gladstone Street  Warragul VIC 3820,03 5622 0444,"{""lat"":-38.1617437, ""lng"":145.9364921}"
mgp0275,Maternal And Child Health Centre - Anglesea,Barwon Health Building  3B McMillan Street  Anglesea VIC 3230,03 5261 0600,"{""lat"":-38.409679, ""lng"":144.1855735}"
mgp0276,TerryWhite Chemmart Winchelsea,15 Main Street  Winchelsea VIC 3241,03 5267 2198,"{""lat"":-38.2440324, ""lng"":143.9873877}"
mgp0277,Bridge Mall UFS Dispensary,40 Bridge Mall  Ballarat VIC 3350,03 5327 0400,"{""lat"":-37.5625305, ""lng"":143.8625191}"
mgp0278,Priceline Pharmacy Bridge Mall,2 Bridge Mall  Ballarat VIC 3350,03 5331 7021,"{""lat"":-37.5625305, ""lng"":143.8625191}"
mgp0279,Eureka Medical Centre Pharmacy,14 Albert Street  Ballarat VIC 3350,03 5331 1199,"{""lat"":-37.5628434, ""lng"":143.859025}"
mgp0280,Maternal And Child Health Centre - Winchelsea,Hesse Rural Health Building  12 Gosney Street  Winchelsea VIC 3241,03 5261 0600,"{""lat"":-38.2432644, ""lng"":143.9837778}"
mgp0281,Ballarat City Council - Age  Disability and Community Services,25 Armstrong Street  Ballarat VIC 3350,03 5320 5500,NA
mgp0282,Ballarat - Sturt Street UFS Dispensary,717 Sturt Street  Ballarat VIC 3350,03 5331 9811,"{""lat"":-37.56146845000001, ""lng"":143.84973474999998}"
mgp0283,Avenel Pharmacy,2 Queen Street  Avenel VIC 3664,03 5796 2009,"{""lat"":-36.896312, ""lng"":145.2298768}"
mgp0284,Ballarat Community Health - Wendouree,1042 Howitt Street  Wendouree VIC 3355,03 5338 4500,"{""lat"":-37.539033, ""lng"":143.8224388}"
mgp0285,Lyttleton Street Medical Clinic,64 Lyttleton Street  Castlemaine VIC 3450,03 5472 3233,"{""lat"":-37.0643894, ""lng"":144.2170644}"
mgp0286,UFS Dispensary Wendouree,1207 Howitt Street  Wendouree VIC 3355,03 5339 6933,"{""lat"":-37.54042455, ""lng"":143.82990454819702}"
mgp0287,MOUNT ALEXANDER SHIRE COUNCIL,25 Lyttleton Street  Castlemaine VIC 3450,03 5471 1766,"{""lat"":-37.0643894, ""lng"":144.2170644}"
mgp0288,Bass Coast Health - Wonthaggi Hospital,235 Graham Street  Wonthaggi VIC 3995,03 5671 3227,"{""lat"":-38.6058642, ""lng"":145.5934637}"
mgp0289,Leigh Community Health Centre,55 Ferrars Street  Rokewood VIC 3330,03 5267 1280,"{""lat"":-37.9025805, ""lng"":143.7242934}"
mgp0290,Golden Plains Northern Community Centre  Haddon,396 Sago Hill Road  Haddon VIC 3351,03 5220 7230,"{""lat"":-37.5776006, ""lng"":143.7352211}"
mgp0291,SOUTH GIPPSLAND SHIRE COUNCIL,9 Smith Street  Leongatha VIC 3953,03 5662 9370,"{""lat"":-38.4763175, ""lng"":145.94351}"
mgp0292,Maternal And Child Health Centre - Lorne,Figtree Community House  16 Mountjoy Parade  Lorne VIC 3232,03 5261 0600,"{""lat"":-38.5365271, ""lng"":143.9732849}"
mgp0293,Strathdale Pharmacy,Strathdale Shopping Centre  Shop 48D  134 Condon Street  Kennington VIC 3550,03 5442 3889,"{""lat"":-36.7805016, ""lng"":144.3124402}"
mgp0294,Chemist Warehouse Kangaroo Flat,144 High Street  Kangaroo Flat VIC 3555,03 5447 8426,"{""lat"":-36.8186965, ""lng"":144.2382345}"
mgp0295,Priceline Pharmacy Bendigo Marketplace,Bendigo Market Place  Shop 11  116-120 Mitchell Street  Bendigo VIC 3550,03 5443 3319,"{""lat"":-36.7632122, ""lng"":144.282635}"
mgp0296,City of Greater Bendigo,195 229 Lyttleton Terrace  Bendigo VIC 3550,03 44086590,"{""lat"":-36.75902495, ""lng"":144.2836307973192}"
mgp0297,Chemist Warehouse - Bendigo,43 Mitchell Street  Bendigo VIC 3550,03 5443 4988,"{""lat"":-36.76070765, ""lng"":144.28012856611105}"
mgp0298,Mansfield Pharmacy - Cathy Henry,37 High Street  Mansfield VIC 3722,03 5775 1311,"{""lat"":-37.0528146, ""lng"":146.0923942}"
mgp0299,UFS Pharmacies View Street,Corner of View and Barnard Street  Bendigo VIC 3550,03 5443 4610,"{""lat"":-36.7583562, ""lng"":144.2679956}"
mgp0300,Bendigo Primary Care Centre,123 Arnold Street  Bendigo VIC 3550,03 5441 8622,"{""lat"":-36.7437049, ""lng"":144.2743093}"
mgp0301,UFS Pharmacies Maiden Gully,Shop 2  741 Calder Highway  Maiden Gully VIC 3551,03 5449 7149,"{""lat"":-36.7420419, ""lng"":144.1993822}"
mgp0302,CENTRAL GOLDFIELDS SHIRE COUNCIL,Maryborough Regional College  12 Nolan Street  Maryborough VIC 3465,03 5461 0647,"{""lat"":-37.0468779, ""lng"":143.737386}"
mgp0303,Priceline Pharmacy Maryborough,101-103 High Street  Maryborough VIC 3465,03 5460 5999,"{""lat"":-37.0472225, ""lng"":143.73692}"
mgp0304,Clarendon Medical Centre,4 Neill Street  Maryborough VIC 3465,03 5461 0100,"{""lat"":-37.0451572, ""lng"":143.7363782}"
mgp0305,Colac Otway Shire - Older Persons and Ability Support Services,Colac Otway Shire Service Centre  2-6 Rae Street  Colac VIC 3250,03 5232 9420,"{""lat"":-38.3421098, ""lng"":143.5857692}"
mgp0306,Latrobe City Council - Morwell Office,141 Commercial Road  Morwell VIC 3840,1300 367 700,"{""lat"":-38.2473922, ""lng"":146.4258293}"
mgp0307,Skipton Infant Welfare Centre,Skipton Hospital  Blake Street  Skipton VIC 3361,03 5340 1162,"{""lat"":-37.6841864, ""lng"":143.3615113}"
mgp0308,Chemist Discount Centre Churchill,West Place Shopping Centre  Shop 7  11-12 West Place  Churchill VIC 3842,03 5122 1390,"{""lat"":-38.3142299, ""lng"":146.4200659}"
mgp0309,Maternal And Child Health Centre - Lismore,Lismore Community Health Centre  102 High Street  Lismore VIC 3324,1800 552 902,"{""lat"":-37.9538742, ""lng"":143.3435397}"
mgp0310,PYRENEES SHIRE COUNCIL,5 Lawrence Street  Beaufort VIC 3373,03 5349 1100,"{""lat"":-37.428236749999996, ""lng"":143.38429237295185}"
mgp0311,TerryWhite Chemmart Traralgon,65 Franklin Street  Traralgon VIC 3844,03 5174 2214,"{""lat"":-38.1942334, ""lng"":146.5382946}"
mgp0312,Chemist Warehouse Traralgon,92 Franklin Street  Traralgon VIC 3844,03 5174 2003,"{""lat"":-38.1942334, ""lng"":146.5382946}"
mgp0313,Dunolly Pharmacy,119 Broadway  Dunolly VIC 3472,03 5468 1522,"{""lat"":-36.8660347, ""lng"":143.7368127}"
mgp0314,Dunolly Pharmacy,199 Broadway  Dunolly VIC 3472,03 5468 1522,"{""lat"":-36.8660347, ""lng"":143.7368127}"
mgp0315,Community Care Chemist - Apollo Bay,123 Great Ocean Road  Apollo Bay VIC 3233,03 5237 6312,"{""lat"":-38.7539267, ""lng"":143.6689497}"
mgp0316,Maternal & Child Health Centre - Merrigum,145 Waverley Avenue  Merrigum VIC 3618,03 5855 2467,"{""lat"":-36.36934935, ""lng"":145.132224657805}"
mgp0317,Mooroopna Pharmacy,90 McLennan Street  Mooroopna VIC 3629,03 5825 1912,"{""lat"":-36.3952648, ""lng"":145.3546233}"
mgp0318,Rochester Medical Practice,40-44 Moore Street  Rochester VIC 3561,03 5484 1304,"{""lat"":-36.3608878, ""lng"":144.7000059}"
mgp0319,Chemist Warehouse Shepparton,425 Wyndham Street  Shepparton VIC 3630,03 5821 6000,"{""lat"":-36.3780417, ""lng"":145.3999342}"
mgp0320,Vita Healthcare,Shepparton Market Place  Shop 2-3  110 Benalla Road  Shepparton VIC 3630,03 5822 2273,"{""lat"":-36.3882462, ""lng"":145.4245579}"
mgp0321,Family Care Pharmacy - High Street,Shop 14  310 High Street  Shepparton VIC 3630,03 5821 0580,"{""lat"":-36.3815587, ""lng"":145.4032602}"
mgp0322,GREATER SHEPPARTON CITY COUNCIL,70 Welsford Street  Shepparton VIC 3630,03 5832 9700,"{""lat"":-36.377464, ""lng"":145.398035}"
mgp0323,Priceline Pharmacy Benalla,83 Bridge Street  Benalla VIC 3672,03 5762 2888,"{""lat"":-36.5549368, ""lng"":145.9766271}"
mgp0324,Jenny Milner - Marsha Watson Pharmacy,55 Bridge Street  Benalla VIC 3672,03 5762 1033,"{""lat"":-36.5549368, ""lng"":145.9766271}"
mgp0325,Amcal Plus Benalla,27-29 Bridge Street  Benalla VIC 3672,03 5762 7575,"{""lat"":-36.5549368, ""lng"":145.9766271}"
mgp0326,Kerr's Amcal Pharmacy,155 Allan Street  Kyabram VIC 3620,03 5852 1023,"{""lat"":-36.3135065, ""lng"":145.0522861}"
mgp0327,Benalla Community Care Centre,Ray Sweeney Community Care  45 Coster Street  Benalla VIC 3672,03 5761 4500,"{""lat"":-36.55495715, ""lng"":145.99449813503026}"
mgp0328,Camperdown Pharmacy,135 Manifold Street  Camperdown VIC 3260,03 5593 1152,"{""lat"":-38.2368592, ""lng"":143.1537502}"
mgp0329,Corangamite Shire,181 Manifold Street  Camperdown VIC 3260,03 5593 7100,"{""lat"":-38.2368592, ""lng"":143.1537502}"
mgp0330,Yarram and District Health Service - Yarram,85-91 Commercial Road  Yarram VIC 3971,1800 934 722,"{""lat"":-38.5692416, ""lng"":146.6746776}"
mgp0331,Yarram Pharmacy,199 Commercial Road  Yarram VIC 3971,03 5182 5005,"{""lat"":-38.5692416, ""lng"":146.6746776}"
